"treeID","bin","95th_eucDist","bin_numb"
7,"(22.9,23.4].95%",0.701459364537014,22.9
7,"(23.4,23.9].95%",0.577637429550553,23.4
7,"(23.9,24.4].95%",0.299978695663066,23.9
8,"(1.37,1.87].95%",0.558366804913564,1.37
8,"(1.87,2.37].95%",0.52394899347155,1.87
8,"(2.37,2.87].95%",0.539787311742304,2.37
8,"(2.87,3.37].95%",0.513229822668586,2.87
8,"(3.37,3.87].95%",0.518960912952524,3.37
8,"(3.87,4.37].95%",0.574918567382226,3.87
8,"(4.37,4.87].95%",0.609204722848406,4.37
8,"(4.87,5.37].95%",0.618026033477332,4.87
8,"(5.37,5.87].95%",0.625207532137832,5.37
8,"(5.87,6.37].95%",0.629615414157523,5.87
8,"(6.37,6.87].95%",0.637715988540958,6.37
8,"(6.87,7.37].95%",0.637837736955084,6.87
8,"(7.37,7.87].95%",0.614485297610301,7.37
8,"(7.87,8.37].95%",0.782195028910232,7.87
8,"(8.37,8.87].95%",0.740149325454552,8.37
8,"(8.87,9.37].95%",0.955380042922467,8.87
8,"(9.37,9.87].95%",0.836757149729992,9.37
8,"(9.87,10.4].95%",0.841209150018408,9.87
8,"(10.4,10.9].95%",0.863387949984003,10.4
8,"(10.9,11.4].95%",2.5782287409125,10.9
8,"(11.4,11.9].95%",1.45134185318877,11.4
8,"(11.9,12.4].95%",0.870948294085403,11.9
8,"(12.4,12.9].95%",1.72162050614322,12.4
8,"(12.9,13.4].95%",0.936241097773895,12.9
8,"(13.9,14.4].95%",NA,13.9
8,"(14.4,14.9].95%",NA,14.4
8,"(14.9,15.4].95%",1.71910669722879,14.9
8,"(15.4,15.9].95%",NA,15.4
8,"(15.9,16.4].95%",NA,15.9
8,"(17.9,18.4].95%",2.60156893748952,17.9
8,"(18.4,18.9].95%",2.16070544450023,18.4
8,"(21.4,21.9].95%",2.95278673417858,21.4
8,"(21.9,22.4].95%",1.91912715537716,21.9
8,"(22.4,22.9].95%",1.64346839414829,22.4
8,"(22.9,23.4].95%",0.883817601716313,22.9
8,"(23.4,23.9].95%",1.28679077920399,23.4
9,"(1.4,1.9].95%",0.556590375185413,NA
9,"(1.9,2.4].95%",0.5630880802489,NA
9,"(2.4,2.9].95%",0.533323541742691,NA
9,"(2.9,3.4].95%",0.552494452762117,NA
9,"(3.4,3.9].95%",0.500976781875346,NA
9,"(3.9,4.4].95%",0.547617567472982,NA
9,"(4.4,4.9].95%",0.495574388973296,NA
9,"(4.9,5.4].95%",0.507884446752907,NA
9,"(5.4,5.9].95%",0.511351395715397,NA
9,"(5.9,6.4].95%",0.355325269698794,NA
9,"(6.4,6.9].95%",0.333702436857623,NA
9,"(6.9,7.4].95%",0.431421633655441,NA
9,"(7.4,7.9].95%",0.914389067161889,NA
9,"(7.9,8.4].95%",0.994830376625363,NA
9,"(8.4,8.9].95%",0.885468604531546,NA
9,"(8.9,9.4].95%",0.408158992460234,NA
9,"(9.4,9.9].95%",0.372716868333707,NA
9,"(9.9,10.4].95%",0.371399012669875,NA
9,"(10.4,10.9].95%",0.654233318153135,10.4
9,"(10.9,11.4].95%",1.76681659008006,10.9
9,"(11.4,11.9].95%",2.03694571335911,11.4
9,"(11.9,12.4].95%",0.324291394317767,11.9
9,"(12.4,12.9].95%",2.69210055201834,12.4
9,"(12.9,13.4].95%",3.08656890120161,12.9
9,"(13.4,13.9].95%",2.50500892506891,13.4
9,"(13.9,14.4].95%",0.292392571177542,13.9
9,"(14.4,14.9].95%",2.16808325492157,14.4
9,"(14.9,15.4].95%",2.59373789984878,14.9
9,"(15.4,15.9].95%",2.95377686345785,15.4
9,"(15.9,16.4].95%",2.95731254666525,15.9
9,"(16.4,16.9].95%",2.70701841858386,16.4
9,"(16.9,17.4].95%",2.80474892323237,16.9
9,"(17.4,17.9].95%",2.79246873313801,17.4
9,"(17.9,18.4].95%",3.07221848545096,17.9
9,"(18.4,18.9].95%",3.12984456565584,18.4
9,"(18.9,19.4].95%",2.68989817351006,18.9
9,"(19.4,19.9].95%",2.86948220492484,19.4
9,"(19.9,20.4].95%",2.40090535205249,19.9
9,"(20.4,20.9].95%",2.24025906153311,20.4
9,"(20.9,21.4].95%",2.08488573342897,20.9
9,"(21.4,21.9].95%",1.91842774146775,21.4
9,"(21.9,22.4].95%",1.45983844243496,21.9
9,"(22.4,22.9].95%",1.45457280238382,22.4
9,"(22.9,23.4].95%",1.22251627362878,22.9
9,"(23.4,23.9].95%",0.996435647546782,23.4
9,"(24.4,24.9].95%",0.343511001338572,24.4
11,"(1.39,1.89].95%",0.542668408263653,1.39
11,"(1.89,2.39].95%",0.510631849260652,1.89
11,"(2.39,2.89].95%",0.498193862847948,2.39
11,"(2.89,3.39].95%",0.463124297640766,2.89
11,"(3.39,3.89].95%",0.48481439736081,3.39
11,"(3.89,4.39].95%",0.472730367371683,3.89
11,"(4.39,4.89].95%",0.457486224817555,4.39
11,"(4.89,5.39].95%",0.44185829300181,4.89
11,"(5.39,5.89].95%",0.426259789424838,5.39
11,"(5.89,6.39].95%",0.423675940493314,5.89
11,"(6.39,6.89].95%",0.41192839197983,6.39
11,"(6.89,7.39].95%",0.38266202529709,6.89
11,"(7.39,7.89].95%",0.355517896233297,7.39
11,"(7.89,8.39].95%",0.349676384786519,7.89
11,"(8.39,8.89].95%",0.31286757028539,8.39
11,"(8.89,9.39].95%",1.70410099810484,8.89
11,"(9.39,9.89].95%",2.14753752311116,9.39
11,"(9.89,10.4].95%",2.55995611875584,9.89
11,"(10.4,10.9].95%",2.92185320146794,10.4
11,"(10.9,11.4].95%",2.82392823282937,10.9
11,"(11.4,11.9].95%",2.34056747772531,11.4
11,"(11.9,12.4].95%",2.64015077015062,11.9
11,"(12.4,12.9].95%",2.77108296252966,12.4
11,"(12.9,13.4].95%",2.45295935514335,12.9
11,"(13.4,13.9].95%",2.18383348339505,13.4
11,"(13.9,14.4].95%",1.89503866683687,13.9
11,"(14.4,14.9].95%",1.83907938277626,14.4
11,"(14.9,15.4].95%",1.77572513033034,14.9
11,"(15.4,15.9].95%",1.61544530885075,15.4
11,"(15.9,16.4].95%",1.75676956348984,15.9
11,"(16.4,16.9].95%",1.64481952304713,16.4
11,"(16.9,17.4].95%",1.20536186270865,16.9
11,"(17.4,17.9].95%",0.914680393208402,17.4
11,"(17.9,18.4].95%",0.613201536340447,17.9
12,"(1.39,1.89].95%",1.72526897802435,1.39
12,"(1.89,2.39].95%",1.72532838298021,1.89
12,"(2.39,2.89].95%",1.70730257740893,2.39
12,"(2.89,3.39].95%",1.71020892234832,2.89
12,"(3.39,3.89].95%",1.7054596089229,3.39
12,"(3.89,4.39].95%",1.69544891523073,3.89
12,"(4.39,4.89].95%",1.66930624744887,4.39
12,"(4.89,5.39].95%",1.65659157923851,4.89
12,"(5.39,5.89].95%",1.66744017620291,5.39
12,"(5.89,6.39].95%",1.65686845354886,5.89
12,"(6.39,6.89].95%",1.64616847001788,6.39
12,"(6.89,7.39].95%",1.62814069624837,6.89
12,"(7.39,7.89].95%",1.63720920334026,7.39
12,"(7.89,8.39].95%",1.60950535883393,7.89
12,"(8.39,8.89].95%",1.58612151151859,8.39
12,"(9.39,9.89].95%",2.70022190089903,9.39
12,"(9.89,10.4].95%",1.52365451258161,9.89
12,"(10.4,10.9].95%",NA,10.4
12,"(10.9,11.4].95%",1.74857702930646,10.9
12,"(11.4,11.9].95%",1.00773268760579,11.4
12,"(11.9,12.4].95%",1.40937463403898,11.9
12,"(12.4,12.9].95%",NA,12.4
12,"(12.9,13.4].95%",2.90193165108267,12.9
12,"(13.4,13.9].95%",2.36373314803147,13.4
12,"(13.9,14.4].95%",1.47206187351723,13.9
12,"(14.4,14.9].95%",1.10554838175239,14.4
12,"(14.9,15.4].95%",2.41636575993278,14.9
12,"(15.4,15.9].95%",1.30725446037495,15.4
12,"(15.9,16.4].95%",1.90674548404592,15.9
12,"(16.4,16.9].95%",2.05434533530925,16.4
12,"(16.9,17.4].95%",2.24044205540111,16.9
12,"(17.4,17.9].95%",1.09922494310561,17.4
13,"(1.44,1.94].95%",0.296553484190603,1.44
13,"(1.94,2.44].95%",0.230647566382513,1.94
13,"(2.44,2.94].95%",0.275055060176923,2.44
13,"(2.94,3.44].95%",0.224383777723183,2.94
13,"(3.44,3.94].95%",0.288809722664938,3.44
13,"(3.94,4.44].95%",0.228509548761577,3.94
13,"(4.44,4.94].95%",0.330470994017278,4.44
13,"(4.94,5.44].95%",0.336725628841686,4.94
13,"(5.44,5.94].95%",0.397516939164786,5.44
13,"(5.94,6.44].95%",0.317444089777129,5.94
13,"(6.44,6.94].95%",0.315928158151441,6.44
13,"(6.94,7.44].95%",0.328567678878837,6.94
13,"(7.44,7.94].95%",0.324999999981374,7.44
13,"(7.94,8.44].95%",0.548520624721051,7.94
13,"(8.44,8.94].95%",0.612521569582606,8.44
13,"(8.94,9.44].95%",0.811287605590702,8.94
13,"(9.44,9.94].95%",0.554788170190776,9.44
13,"(9.94,10.4].95%",2.79876793883089,9.94
13,"(10.4,10.9].95%",3.20381677710787,10.4
13,"(10.9,11.4].95%",2.52238261312057,10.9
13,"(11.4,11.9].95%",2.6088346725023,11.4
13,"(11.9,12.4].95%",2.47730183589344,11.9
13,"(12.4,12.9].95%",2.48089701515009,12.4
13,"(12.9,13.4].95%",2.50971951988242,12.9
13,"(13.4,13.9].95%",2.35933176604447,13.4
13,"(13.9,14.4].95%",1.7742800867548,13.9
13,"(14.4,14.9].95%",1.7771291175483,14.4
13,"(14.9,15.4].95%",2.02965258495831,14.9
13,"(15.4,15.9].95%",2.11350392297659,15.4
13,"(15.9,16.4].95%",1.43455806214694,15.9
13,"(16.4,16.9].95%",1.3200603875426,16.4
13,"(16.9,17.4].95%",0.744289964937049,16.9
13,"(17.4,17.9].95%",0.786457171114873,17.4
13,"(17.9,18.4].95%",0.722290375293736,17.9
14,"(1.9,2.4].95%",1.51656723130459,NA
14,"(2.4,2.9].95%",1.55234325133086,NA
14,"(3.4,3.9].95%",NA,NA
14,"(3.9,4.4].95%",1.36931562494334,NA
14,"(4.4,4.9].95%",1.35732525934004,NA
14,"(4.9,5.4].95%",1.3890889432542,NA
14,"(5.4,5.9].95%",NA,NA
14,"(5.9,6.4].95%",1.31723794105714,NA
14,"(6.4,6.9].95%",1.29493541621396,NA
14,"(6.9,7.4].95%",1.29425395572331,NA
14,"(7.4,7.9].95%",1.23647234350873,NA
14,"(9.4,9.9].95%",3.08565581531212,NA
14,"(9.9,10.4].95%",2.15327615846246,NA
14,"(10.4,10.9].95%",NA,10.4
14,"(10.9,11.4].95%",3.00447620888118,10.9
14,"(11.4,11.9].95%",2.94053995850094,11.4
14,"(11.9,12.4].95%",2.90249890609554,11.9
14,"(12.4,12.9].95%",3.18415465196968,12.4
14,"(12.9,13.4].95%",2.88408031887264,12.9
14,"(13.4,13.9].95%",2.14739106427006,13.4
14,"(13.9,14.4].95%",2.35108970184525,13.9
14,"(14.4,14.9].95%",2.50224860820361,14.4
14,"(14.9,15.4].95%",2.46239965396264,14.9
14,"(15.4,15.9].95%",2.29754498140253,15.4
14,"(15.9,16.4].95%",1.90972554706344,15.9
14,"(16.4,16.9].95%",2.21121268390388,16.4
14,"(16.9,17.4].95%",2.05659111102599,16.9
14,"(17.4,17.9].95%",1.65967527923012,17.4
15,"(1.38,1.88].95%",1.1468929150057,1.38
15,"(1.88,2.38].95%",1.1056664280477,1.88
15,"(2.38,2.88].95%",1.06711018737715,2.38
15,"(2.88,3.38].95%",1.04792977939231,2.88
15,"(3.38,3.88].95%",0.976812565247775,3.38
15,"(3.88,4.38].95%",0.950110810786468,3.88
15,"(4.38,4.88].95%",0.771760993146102,4.38
15,"(4.88,5.38].95%",0.755632608531638,4.88
15,"(5.38,5.88].95%",0.744950084982641,5.38
15,"(5.88,6.38].95%",0.666981101469758,5.88
15,"(6.38,6.88].95%",0.728355301121993,6.38
15,"(6.88,7.38].95%",0.699833540329717,6.88
15,"(7.38,7.88].95%",0.654019363605062,7.38
15,"(7.88,8.38].95%",0.666242542666379,7.88
15,"(8.38,8.88].95%",0.602501047099479,8.38
15,"(8.88,9.38].95%",0.620682326656347,8.88
15,"(9.38,9.88].95%",0.590024104611418,9.38
15,"(9.88,10.4].95%",0.497944367760349,9.88
15,"(10.4,10.9].95%",0.49466529907549,10.4
15,"(10.9,11.4].95%",0.489155718292471,10.9
15,"(11.4,11.9].95%",0.514227565002142,11.4
15,"(11.9,12.4].95%",0.521047038890378,11.9
15,"(12.4,12.9].95%",0.518918676249976,12.4
15,"(12.9,13.4].95%",NA,12.9
15,"(13.4,13.9].95%",3.48974736444448,13.4
15,"(13.9,14.4].95%",3.30435863623728,13.9
15,"(14.4,14.9].95%",3.80824041316358,14.4
15,"(14.9,15.4].95%",2.22315442775068,14.9
15,"(15.4,15.9].95%",2.60898970824648,15.4
15,"(15.9,16.4].95%",2.84717798754632,15.9
15,"(16.4,16.9].95%",2.87336946028273,16.4
15,"(16.9,17.4].95%",2.45006090435578,16.9
15,"(17.4,17.9].95%",3.19723798137168,17.4
15,"(17.9,18.4].95%",2.42052704208112,17.9
15,"(18.4,18.9].95%",1.46427000197971,18.4
15,"(18.9,19.4].95%",2.85960929829987,18.9
15,"(19.4,19.9].95%",1.90637023012008,19.4
15,"(19.9,20.4].95%",1.5235789307226,19.9
15,"(20.4,20.9].95%",1.53849703668409,20.4
15,"(20.9,21.4].95%",1.0336505093342,20.9
16,"(1.45,1.95].95%",0.338094917667007,1.45
16,"(1.95,2.45].95%",0.345943019059764,1.95
16,"(2.45,2.95].95%",0.354912905302434,2.45
16,"(2.95,3.45].95%",0.354828356358837,2.95
16,"(3.45,3.95].95%",0.359686006229699,3.45
16,"(3.95,4.45].95%",0.363514111806999,3.95
16,"(4.45,4.95].95%",0.342654725020186,4.45
16,"(4.95,5.45].95%",0.357622221981446,4.95
16,"(5.45,5.95].95%",0.350826112485423,5.45
16,"(5.95,6.45].95%",0.431660421102127,5.95
16,"(6.45,6.95].95%",0.329741307889985,6.45
16,"(6.95,7.45].95%",0.455453341256804,6.95
16,"(7.45,7.95].95%",0.336454773431151,7.45
16,"(7.95,8.45].95%",0.328147227141601,7.95
16,"(8.45,8.95].95%",0.359040423942042,8.45
16,"(8.95,9.45].95%",0.363668783440766,8.95
16,"(9.45,9.95].95%",0.320534495974412,9.45
16,"(9.95,10.4].95%",0.310712248501764,9.95
16,"(10.4,10.9].95%",0.308170751381953,10.4
16,"(10.9,11.4].95%",2.10323014217561,10.9
